Value of exports of services (million US$),,,,,,,,,,,
Brazil,…,…,…,…,…,…,…,…,…,…,…
China,"35,030","219,141","217,399","208,404","213,064",233567,"244,359","228,883","339,393","372,495",332055
Egypt,…,"21,898","18,539","13,606","19,535","23,574","25,051","15,053","21,897","31,574","33,649"
Ethiopia,…,…,…,…,…,…,…,…,…,…,…
India(2),"16,268","158,110","154,310","164,200","195,090","208,000","213,190","206,090","254,530","325,330","341,064"
Iran,…,…,…,…,…,…,…,…,…,…,…
Russia,"11,300","65,744","51,616","50,644","57,541","64,646","61,978","47,960","55,555","48,802","41,177"
South Africa,"5,039","17,220","15,536","14,938","16,553","17,020","15,902","8,489","9,146","12,668","14,253"
UAE,…,"23,826","60,776","65,596","70,497","71,831","90,265","78,121","101,838","154,391","162,042"
