Value of exports of goods and commercial services (million US$),,,,,,,,,,,
Brazil,"74,155","327,261","251,814","209,433","235,561","269,519","270,767","230,508","306,087","376,084","346,639"
China(1),"253,092","2,462,902","2,360,152","2,197,922","2,429,277","2,651,010","2,630,999","2,738,898","3,555,231","3,719,320","3,511,248"
Egypt,…,"47,166","37,569","33,624","42,875","51,620","53,523","40,102","58,339","76,296","68,218"
Ethiopia,…,…,…,…,…,…,…,…,…,…,…
India(2),"60,779","468,462","416,601","440,052","498,616","538,078","526,551","497,898","676,534","776,400","778,136"
Iran,…,…,…,…,…,…,…,…,…,…,…
Russia,"110,520","562,551","393,035","332,353","410,483","508,561","481,699","381,490","549,717","640,878","465,660"
South Africa,"37,058","110,550","96,086","91,109","104,288","111,435","105,906","93,200","130,911","135,795","124,697"
UAE,…,"402,728","358,530","360,626","382,138","400,218","404,863","350,277","425,156","521,897","558,402"
