Ratio of exports of goods to imports of goods (%),,,,,,,,,,,
Brazil,100.2,110.1,113.9,135.7,122.1,113.3,118.2,114.7,114.9,114.9,…
China,115.9,124.1,136.8,132.6,127.3,118.7,119.7,125.6,121.2,124.8,123.0
Egypt,…,39.2,33.0,34.3,39.0,42.6,43.2,40.4,45.0,54.6,50.2
Ethiopia,…,…,…,…,…,…,…,…,…,…,…
India(2),88.0,69.3,68.8,71.8,65.2,64.2,66.0,74.0,68.8,63.0,64.4
Iran,…,…,…,…,…,…,…,…,…,…,…
Russia,235.5,161.4,176.9,147.1,148.1,178.4,165.3,138.9,164.1,214.1,140.2
South Africa,117.2,94.2,94.9,102.3,105.3,102.2,102.9,126.2,133.3,112.4,105.3
UAE,…,180.2,159.1,157.9,145.9,157.0,144.4,115.6,119.1,111.0,105.2
