Share of external debts to GDP (%),,,,,,,,,,,
Brazil,…,29.0,37.0,37.5,32.3,34.7,36.1,43.3,40.1,34.9,33.7
China(14),12.0,17.0,12.5,12.6,14.3,14.3,14.5,16.3,15.4,13.6,13.7
Egypt,…,…,14.2,25.2,31.5,30.4,29.5,30.5,30.5,40.0,43.0
Ethiopia,…,24.5,28.8,28.6,28.5,30.6,28.2,26.8,26.5,22.0,17.3
India(3)(12),22.0,23.9,23.8,23.4,19.8,20.1,19.9,20.9,21.1,19.9,19.0
Iran,…,…,…,…,…,…,…,…,…,…,…
Russia(13),61.7,42.7,45.5,36.3,32.5,30.4,27.8,32.1,26.7,17.5,16.5
South Africa,24.4,38.1,35.8,44.1,45.4,42.6,47.6,50.4,38.1,40.4,41.5
UAE,…,…,…,…,…,…,…,…,…,…,…
