Value of imports of services (million US$),,,,,,,,,,,
Brazil,…,…,…,…,…,…,…,…,…,…,…
China,"36,164","432,883","435,719","441,550","471,995","525,735","505,508","381,414","440,605","459,935","539,888"
Egypt,…,"9,545","10,357","9,971","10,369","10,503","12,992","10,469","13,028","15,189","13,430"
Ethiopia,…,…,…,…,…,…,…,…,…,…,…
India(2),"14,576","81,580","84,630","95,850","117,530","126,060","128,270","117,520","147,010","182,050","178,298"
Iran,…,…,…,…,…,…,…,…,…,…,…
Russia,"16,340","121,022","88,768","74,602","88,864","94,728","98,471","64,748","75,876","70,874","76,450"
South Africa,"5,817","17,148","15,711","15,226","16,618","16,953","16,467","11,215","13,603","18,245","18,605"
UAE,…,"64,860","81,879","83,839","71,804","72,321","88,196","61,865","76,106","96,909","105,187"
