Outflows of FDI (million US$),,,,,,,,,,,
Brazil,"2,497","20,607","3,134","14,693","21,341","2,025","22,820","-3,467","16,239","33,355",…
China(8)(9),...,"123,120","145,667","196,149","158,288","143,037","136,908","153,710","178,819","163,121",…
Egypt,…,…,"5,871","5,736","5,120","6,456","8,536","7,890","11,390","13,663","11,240"
Ethiopia,…,…,…,…,…,…,…,…,…,…,…
India(2)(5),759,"4,031","8,886","6,603","9,144","12,590","12,993","10,972","17,644","14,020","16,678"
Iran,…,…,…,…,…,…,…,…,…,…,…
Russia(6),"3,179","57,082","22,085","22,314","36,757","31,377","21,923","5,847","65,883",…,…
South Africa(10),271,"7,675","5,747","4,475","7,377","4,076","3,147","-1,951",139,"2,376","-2,812"
UAE,…,…,…,…,…,…,…,…,…,…,…
