Inflows of FDI (million US$),,,,,,,,,,,
Brazil,"32,995","87,714","64,738","74,295","68,885","78,163","69,174","37,786","46,439","87,245",…
China (8)(18),"40,715","128,500","135,580","133,710","136,320","138,310","141,220","149,340","180,960","189,130","163,253"
Egypt,…,…,"12,797","13,843","12,528","14,597","17,546","13,742","16,512","25,063","21,080"
Ethiopia,…,"1,855","2,627","4,143","4,017","3,360","2,549","2,381","4,260","3,670","3,263"
India(2)(5),"4,029","45,148","55,559","60,220","60,974","62,001","74,391","81,973","84,835","71,355","70,954"
Iran,…,…,…,…,…,…,…,…,…,…,…
Russia(6),"2,678","22,031","6,853","32,539","28,557","8,785","31,975","9,479","40,450",…,…
South Africa(7),888,"5,775","1,730","2,235","2,010","5,450","5,125","3,062","40,215","9,280","3,475"
UAE,…,…,…,…,…,…,…,…,…,…,…
